u_neighborhood,u_hr_0,u_hr_1,u_hr_2,u_hr_3,u_hr_4,u_hr_5,u_hr_6,u_hr_7,u_hr_8,u_hr_9,u_hr_10,u_hr_11,u_hr_12,u_hr_13,u_hr_14,u_hr_15,u_hr_16,u_hr_17,u_hr_18,u_hr_19,u_hr_20,u_hr_21,u_hr_22,u_hr_23
Downtown Brooklyn,25,19,13,17,35,65,116,152,134,122,114,127,124,137,114,105,127,156,149,113,88,93,53,50
Dyker Heights,2,0,1,1,1,4,12,1,5,7,5,3,4,8,12,9,7,4,10,3,7,6,6,5
East Elmhurst,9,4,11,5,6,6,24,22,20,31,27,26,36,26,31,41,42,40,36,42,28,23,27,19
East Harlem,43,15,16,37,40,63,61,100,101,100,85,85,100,115,136,128,157,152,116,107,107,125,80,57
East Morrisania,2,0,0,1,1,0,0,1,1,4,1,1,4,0,2,1,4,2,2,2,4,4,4,1
East New York,18,10,6,9,4,5,16,16,10,12,9,13,17,19,7,12,23,19,19,15,14,24,14,20
East Village,981,540,312,252,238,391,883,1571,1647,756,513,555,530,540,681,830,904,1000,1067,1087,1028,1316,1486,1366
Eastchester,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,3,0,0
Edenwald,0,2,0,0,0,0,0,0,1,3,0,0,3,1,0,2,0,2,0,0,3,1,2,0
Edgemere,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Elmhurst,3,4,4,8,5,4,6,12,10,11,9,8,11,7,15,13,12,14,10,11,8,21,11,8
Eltingville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Emerson Hill,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Far Rockaway,1,0,0,2,0,0,3,1,2,0,2,1,1,2,1,0,1,1,0,0,2,0,1,0
Ferry Point Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fieldston,0,0,0,0,1,1,2,9,12,17,18,21,19,44,57,25,49,22,10,12,5,5,2,1
Financial District,289,165,100,136,210,252,297,290,349,370,427,512,522,622,830,1108,1255,1290,1239,1206,1029,895,671,486
Flatbush,29,10,11,5,21,26,49,37,35,28,24,39,23,30,35,40,30,36,43,31,33,40,54,39
Flatiron District,155,103,49,45,27,105,146,183,210,202,258,288,337,464,536,803,1060,1152,971,775,684,763,490,347
Flatlands,12,7,6,5,5,5,15,8,9,6,12,1,10,12,14,9,4,7,5,6,9,9,6,9
Floral Park,0,0,0,0,0,5,4,0,0,1,0,1,2,1,1,1,5,2,1,1,2,4,0,0
Floyd Bennett Field,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,0
Flushing,12,14,14,6,14,13,21,20,18,22,20,17,18,23,36,34,27,26,22,28,39,32,19,12
Flushing Meadows Corona Park,0,0,0,0,0,0,1,0,1,5,9,4,8,6,25,22,12,23,6,8,40,73,14,4
Fordham,5,5,2,3,2,5,2,2,2,6,5,15,9,7,8,9,8,13,8,10,10,8,4,10
Forest Hills,7,6,2,5,12,28,21,14,18,18,16,21,16,14,24,28,21,24,22,33,30,34,20,18
